nodeid,in_population,database.all_fitnesses.island_zero,database.best_program.island_zero,database.end_generation.always_false,database.end_generation.bare_increment,database.feature_dimensions.empty,database.fitness.no_feature_exclusion,database.get.best_fallback,database.init.no_novelty_guard,database.island_fitnesses.global,database.last_iteration.off_by_one,database.load.reset_generations,database.num_islands.off_by_one,database.num_programs.off_by_one,database.per_island_bests.neg_inf_default,database.sample_from_island.drop_inspirations,database.save.iteration_zero,database.store_artifacts.noop,islands.add.ignore_target_scope,islands.capabilities.overclaim,islands.elites.worst_first,islands.load_state_dict.ignore_state,islands.native_select.source_is_target,islands.per_scope_bests.global_best,islands.population.ignore_scope,islands.regions.generic_label,islands.scopes.drop_last,islands.snapshot.limit_before_sort,islands.snapshot.regions_always,islands.state_dict.empty,islands.steps_per_generation.one,islands.target_scope.off_by_one,islands.top_programs.island_wins,islands.top_programs.reversed,islands.topology.flat,prompts.build_mutation_prompt.drop_parent2,prompts.build_mutation_prompt.unfiltered_metrics,prompts.build_mutation_prompt.unfiltered_program_lists,prompts.inject_advice.no_header,prompts.make_prompt_sampler.allow_stochasticity,prompts.make_prompt_sampler.skip_template_registration
tests/test_noema_controller.py::TestMutationOperatorMenu::test_provenance_matches_actual_template_used,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K
tests/test_noema_controller.py::TestMutationOperatorMenu::test_seeded_operator_sequence_matches_choice_in_a_loop,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNoemaConfig::test_from_yaml_round_trip,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNoemaConfig::test_retry_on_defaults_to_failure_and_rejects_unknown,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNoemaConfig::test_retry_on_survives_yaml_round_trip,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNoemaConfig::test_selection_policy_defaults_and_validation,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNoemaConfig::test_stochasticity_rejected_at_config_level,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNoemaConfig::test_unknown_coordination_module_rejected_at_build,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNonImprovementRetry::test_all_worse_respects_cap_and_keeps_best_attempt,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNonImprovementRetry::test_failed_acceptance_of_earlier_best_is_recorded_as_failed_selection,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNonImprovementRetry::test_retry_on_failure_default_ignores_non_improvement,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNonImprovementRetry::test_trailing_failure_still_stores_best_valid_attempt,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestNonImprovementRetry::test_worse_then_better_stops_at_two_calls_and_stores_better,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestPESDirectiveExecutor::test_advisory_mode_through_controller_is_byte_identical,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.
tests/test_noema_controller.py::TestPESDirectiveExecutor::test_directive_end_to_end_produces_children,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestPESDirectiveExecutor::test_directive_retry_reformats_full_template_with_previous_attempts,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestReportResultOutcome::test_applyable_code_that_fails_evaluation_reports_eval_error,no,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestReportResultOutcome::test_evaluator_exception_is_traced_before_propagating,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestReportResultOutcome::test_outcome_is_json_safe_and_matches_its_value,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestReportResultOutcome::test_successful_iteration_reports_accepted,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_d9_one_verdict_one_iteration_unit,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_overlength_response_is_rejected_without_crashing_run,no,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_parse_failure_exhausts_retries_reports_failure,no,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_parse_failure_retries_and_succeeds,no,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_pes_retry_carries_reflection_null_does_not,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_retries_metered_on_mutation_account,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_retry_enabled_false_is_byte_identical,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestRetryLoop::test_retry_suffix_reaches_retry_prompt,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_boltzmann_policy_state_survives_controller_checkpoint,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_boltzmann_runs_end_to_end_and_targets_each_island,no,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_diff_only_operator_allowed_with_changes_description,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_full_rewrite_operator_rejected_with_changes_description,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_mutation_operator_seed_defaults_to_random_seed_plus_two,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_mutation_operators_none_by_default,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_sampling_request_precedes_selection_advice,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_tree_uct_runs_offline_with_deep_lineage_and_checkpoint_resume,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller.py::TestSubstrateRuntimeControllerContract::test_unknown_mutation_operator_rejected,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller_upstream_fidelity_spec.py::TestControllerBackedOpenEvolveIslandSelection::test_controller_iteration_sampling_uses_the_iteration_target_scope_sequence,no,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.
tests/test_noema_controller_upstream_fidelity_spec.py::TestControllerBackedOpenEvolveIslandSelection::test_controller_stock_selection_samples_parent_and_inspirations_from_requested_island,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_controller_upstream_fidelity_spec.py::TestControllerBackedOpenEvolvePromptSampler::test_controller_prompt_sampler_builds_openevolve_prompt_with_noema_stochasticity_disabled,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestAdvice::test_default_advice_is_noop,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestGenerationContext::test_context_is_frozen,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_advise_returns_noop_advice,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_log_snapshot_json_serializable,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_null_coordination_inherits_noop_without_override,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_report_and_generation_end_are_noops,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_retry_advice_default_returns_empty_string,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_retry_advice_is_coroutine,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_base.py::TestNullCoordination::test_state_dict_round_trip_and_json_serializable,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestFactorIndependenceSpec::test_coordination_choice_does_not_choose_the_substrate,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestFactorIndependenceSpec::test_old_config_defaults_to_native_openevolve_islands,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestFactorIndependenceSpec::test_substrate_and_selection_have_separate_typed_config,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestNeutralCoordinationContextSpec::test_context_exposes_snapshots_not_a_mutable_store,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestNeutralCoordinationContextSpec::test_generation_context_uses_neutral_population_snapshots,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestPreSelectionHookSpec::test_null_sampling_request_is_empty,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestPreSelectionHookSpec::test_post_selection_advice_no_longer_carries_sampling_hint,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_coordination_substrate_contract_spec.py::TestPreSelectionHookSpec::test_sampling_request_is_a_sync_nonabstract_default_hook,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestCoordinationBaseStaysAbstract::test_null_is_a_coordination_module_with_no_substrate_knowledge,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestModulesRunOnBothSubstrates::test_every_module_advises_on_islands_and_on_a_non_island_store,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestModulesRunOnBothSubstrates::test_pre_selection_hook_is_neutral_on_both_substrates,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestNoConcreteSubstrateReachesCoordination::test_context_hands_over_no_store_and_no_callable,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestNoConcreteSubstrateReachesCoordination::test_modules_never_import_a_concrete_store,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestPESDeclaresItsTopologyAdaptation::test_adaptation_is_declared_only_off_islands,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestPESDeclaresItsTopologyAdaptation::test_faithful_arm_runs_end_to_end_on_a_non_island_store,no,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestPESDeclaresItsTopologyAdaptation::test_faithful_planner_renders_native_labels_per_substrate,no,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestReEvoSubstrateNeutrality::test_identical_semantic_roles_yield_identical_advice,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestReEvoSubstrateNeutrality::test_topology_traced_without_changing_advice,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestSubstrateIdentityAloneChangesNothing::test_hifo_consumes_the_local_cohort_as_a_distribution,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestSubstrateIdentityAloneChangesNothing::test_null_and_hifo_are_identical_across_topologies,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestTheFixtureIsActuallyDifferent::test_the_fixture_never_leaks_into_production_code,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_cross_substrate_portability.py::TestTheFixtureIsActuallyDifferent::test_topologies_disagree_on_labels_and_cadence,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_deep_coordination.py::TestDeepCoordinationLLM::test_deep_llm_spawn_records_tags,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_deep_coordination.py::TestDeepCoordinationLLM::test_factory_deep_wraps_coordination_llm,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_deep_coordination.py::TestDeepCoordinationLLM::test_hifo_deep_extract_populates_tips,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_deep_coordination.py::TestDeepCoordinationLLM::test_hifo_deep_reads_advice_file,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_deep_coordination.py::TestDeepCoordinationLLM::test_nonzero_exit_raises_with_diagnostic,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_deep_coordination.py::TestDeepCoordinationLLM::test_timeout_raises_with_diagnostic,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_export_evoreplay.py::TestEvoReplayExport::test_exports_cvt_and_tree_store_programs,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_export_evoreplay.py::TestEvoReplayExport::test_exports_stock_refined_layout_losslessly,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_export_evoreplay.py::TestEvoReplayExport::test_exports_trace_only_run_without_checkpoints,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_export_evoreplay.py::TestEvoReplayExport::test_refuses_to_overwrite_an_existing_destination,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_export_evoreplay.py::TestEvoReplayExport::test_same_run_exports_byte_identically,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestCallSiteShapes::test_call_site_composition_per_file,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestCallSiteShapes::test_stores_and_views_pass_their_feature_dimensions_through,no,.,.,.,.,K,K,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestCallSiteShapes::test_tree_working_set_ranking_consumes_the_same_scalar,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestCallSiteShapes::test_uct_is_the_only_call_site_that_rejects_a_non_finite_score,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestFourBranches::test_b1_empty_metrics_returns_zero,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestFourBranches::test_b2_combined_score_wins_and_is_coerced_through_float,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestFourBranches::test_b2_prime_unconvertible_combined_score_falls_through_silently,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestFourBranches::test_b3_averages_non_feature_numeric_metrics_with_the_survivor_divisor,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestFourBranches::test_b4_trap_falls_back_to_all_metrics_including_feature_dimensions,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestSharpEdges::test_bool_is_admitted_as_numeric,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestSharpEdges::test_nan_escapes_through_the_combined_score_branch,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_fitness_characterization.py::TestSharpEdges::test_overflow_error_escapes_uncaught_only_from_combined_score,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_flat_controller.py::TestFlatPopulationController::test_valid_non_survivor_with_artifacts_does_not_abort_the_iteration,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_flat_store.py::TestFlatPopulationStore::test_discards_non_survivors_and_their_artifacts,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_flat_store.py::TestFlatPopulationStore::test_exposes_the_neutral_population_store_contract,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_flat_store.py::TestFlatPopulationStore::test_retains_the_two_best_distinct_objectives_in_one_global_scope,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_flat_store.py::TestFlatPopulationStore::test_round_trips_the_retained_population_and_artifacts_as_json,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_noema_flat_store.py::TestFlatPopulationStore::test_save_records_its_checkpoint_iteration_and_loads_it,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
